userId,age,gender,occupation,zip
2,53,F,other,94043
4,24,M,technician,43537
6,42,M,executive,98101
8,36,M,administrator,05201
10,53,M,lawyer,90703
12,28,F,other,06405
14,45,M,scientist,55106
16,21,M,entertainment,10309
18,35,F,other,37212
20,42,F,homemaker,95660
22,25,M,writer,40206
24,21,F,artist,94533
26,49,M,engineer,21044
28,32,M,writer,55369
30,7,M,student,55436
32,28,F,student,78741
34,38,F,administrator,42141
36,19,F,student,93117
38,28,F,other,54467
40,38,M,scientist,27514
42,30,M,administrator,17870
44,26,M,technician,46260
46,27,F,marketing,46538
48,45,M,administrator,12550
50,21,M,writer,52245
52,18,F,student,55105
54,22,M,executive,66315
56,25,M,librarian,46260
58,27,M,programmer,52246
60,50,M,healthcare,06472
62,27,F,administrator,97214
64,32,M,educator,43202
66,23,M,student,80521
68,19,M,student,22904
70,27,M,engineer,60067
72,48,F,administrator,73034
74,39,M,scientist,T8H1N
76,20,M,student,02215
78,26,M,administrator,61801
80,34,F,administrator,52241
82,50,M,programmer,22902
84,32,M,executive,55369
86,26,M,administrator,46005
88,49,F,librarian,11701
90,60,M,educator,78155
92,32,M,entertainment,80525
94,26,M,student,71457
96,25,F,artist,75206
98,49,F,executive,90291
100,36,M,executive,90254
102,38,M,programmer,30220
104,27,M,student,55108
106,61,M,retired,55125
108,44,M,educator,63130
110,19,M,student,77840
112,30,M,salesman,60613
114,27,M,programmer,75013
116,40,M,healthcare,97232
118,21,M,administrator,90210
120,47,F,other,06260
122,32,F,writer,22206
124,34,M,student,60615
126,28,F,lawyer,20015
128,24,F,marketing,20009
130,20,M,none,60115
132,24,M,other,94612
134,31,M,programmer,80236
136,51,M,other,97365
138,46,M,doctor,53211
140,30,F,student,32250
142,13,M,other,48118
144,53,M,programmer,20910
146,45,M,artist,83814
148,33,M,engineer,97006
150,20,F,artist,02139
152,33,F,educator,68767
154,25,M,student,53703
156,25,M,educator,08360
158,50,M,educator,27606
160,27,M,programmer,66215
162,25,M,artist,15610
164,47,M,healthcare,80123
166,47,M,educator,55113
168,48,M,other,80127
170,53,F,healthcare,30067
172,55,M,marketing,22207
174,30,F,administrator,52302
176,28,M,scientist,07030
178,26,M,other,49512
