time_id,timestamp,datetime,hour,day,month,year
1,964982703,2000-07-30 18:45:03,18,30,7,2000
2,964981247,2000-07-30 18:20:47,18,30,7,2000
3,964982224,2000-07-30 18:37:04,18,30,7,2000
4,964983815,2000-07-30 19:03:35,19,30,7,2000
5,964982931,2000-07-30 18:48:51,18,30,7,2000
6,964982400,2000-07-30 18:40:00,18,30,7,2000
7,964980868,2000-07-30 18:14:28,18,30,7,2000
8,964982176,2000-07-30 18:36:16,18,30,7,2000
9,964984041,2000-07-30 19:07:21,19,30,7,2000
10,964984100,2000-07-30 19:08:20,19,30,7,2000
11,964983650,2000-07-30 19:00:50,19,30,7,2000
12,964981208,2000-07-30 18:20:08,18,30,7,2000
13,964980985,2000-07-30 18:16:25,18,30,7,2000
14,964981179,2000-07-30 18:19:39,18,30,7,2000
15,964980908,2000-07-30 18:15:08,18,30,7,2000
16,964981680,2000-07-30 18:28:00,18,30,7,2000
17,964982967,2000-07-30 18:49:27,18,30,7,2000
18,964982310,2000-07-30 18:38:30,18,30,7,2000
19,964982563,2000-07-30 18:42:43,18,30,7,2000
20,964980962,2000-07-30 18:16:02,18,30,7,2000
21,964982588,2000-07-30 18:43:08,18,30,7,2000
22,964981710,2000-07-30 18:28:30,18,30,7,2000
23,964982363,2000-07-30 18:39:23,18,30,7,2000
24,964981909,2000-07-30 18:31:49,18,30,7,2000
25,964982346,2000-07-30 18:39:06,18,30,7,2000
26,964984002,2000-07-30 19:06:42,19,30,7,2000
27,964982653,2000-07-30 18:44:13,18,30,7,2000
28,964984153,2000-07-30 19:09:13,19,30,7,2000
29,964982546,2000-07-30 18:42:26,18,30,7,2000
30,964982271,2000-07-30 18:37:51,18,30,7,2000
31,964983793,2000-07-30 19:03:13,19,30,7,2000
32,964982838,2000-07-30 18:47:18,18,30,7,2000
33,964981775,2000-07-30 18:29:35,18,30,7,2000
34,964984086,2000-07-30 19:08:06,19,30,7,2000
35,964980499,2000-07-30 18:08:19,18,30,7,2000
36,964982475,2000-07-30 18:41:15,18,30,7,2000
37,964981529,2000-07-30 18:25:29,18,30,7,2000
38,964983614,2000-07-30 19:00:14,19,30,7,2000
39,964983219,2000-07-30 18:53:39,18,30,7,2000
40,964982681,2000-07-30 18:44:41,18,30,7,2000
41,964982876,2000-07-30 18:47:56,18,30,7,2000
42,964982791,2000-07-30 18:46:31,18,30,7,2000
43,964982855,2000-07-30 18:47:35,18,30,7,2000
44,964982903,2000-07-30 18:48:23,18,30,7,2000
45,964980924,2000-07-30 18:15:24,18,30,7,2000
46,964981327,2000-07-30 18:22:07,18,30,7,2000
47,964982951,2000-07-30 18:49:11,18,30,7,2000
48,964984018,2000-07-30 19:06:58,19,30,7,2000
49,964983484,2000-07-30 18:58:04,18,30,7,2000
50,964982513,2000-07-30 18:41:53,18,30,7,2000
51,964981827,2000-07-30 18:30:27,18,30,7,2000
52,964981872,2000-07-30 18:31:12,18,30,7,2000
53,964983737,2000-07-30 19:02:17,19,30,7,2000
54,964983250,2000-07-30 18:54:10,18,30,7,2000
55,964981855,2000-07-30 18:30:55,18,30,7,2000
56,964983393,2000-07-30 18:56:33,18,30,7,2000
57,964983618,2000-07-30 19:00:18,19,30,7,2000
58,964983723,2000-07-30 19:02:03,19,30,7,2000
59,964981442,2000-07-30 18:24:02,18,30,7,2000
60,964983414,2000-07-30 18:56:54,18,30,7,2000
61,964983599,2000-07-30 18:59:59,18,30,7,2000
62,964983705,2000-07-30 19:01:45,19,30,7,2000
63,964982290,2000-07-30 18:38:10,18,30,7,2000
64,964983017,2000-07-30 18:50:17,18,30,7,2000
65,964984112,2000-07-30 19:08:32,19,30,7,2000
66,964980875,2000-07-30 18:14:35,18,30,7,2000
67,964981107,2000-07-30 18:18:27,18,30,7,2000
68,964982620,2000-07-30 18:43:40,18,30,7,2000
69,964981125,2000-07-30 18:18:45,18,30,7,2000
70,964983056,2000-07-30 18:50:56,18,30,7,2000
71,964983504,2000-07-30 18:58:24,18,30,7,2000
72,964983536,2000-07-30 18:58:56,18,30,7,2000
73,964981230,2000-07-30 18:20:30,18,30,7,2000
74,964981404,2000-07-30 18:23:24,18,30,7,2000
75,964983034,2000-07-30 18:50:34,18,30,7,2000
76,964981780,2000-07-30 18:29:40,18,30,7,2000
77,964981497,2000-07-30 18:24:57,18,30,7,2000
78,964982211,2000-07-30 18:36:51,18,30,7,2000
79,964984176,2000-07-30 19:09:36,19,30,7,2000
80,964980523,2000-07-30 18:08:43,18,30,7,2000
81,964981888,2000-07-30 18:31:28,18,30,7,2000
82,964981747,2000-07-30 18:29:07,18,30,7,2000
83,964981725,2000-07-30 18:28:45,18,30,7,2000
84,964982529,2000-07-30 18:42:09,18,30,7,2000
85,964982989,2000-07-30 18:49:49,18,30,7,2000
86,964983664,2000-07-30 19:01:04,19,30,7,2000
87,964983263,2000-07-30 18:54:23,18,30,7,2000
88,964983546,2000-07-30 18:59:06,18,30,7,2000
89,964983861,2000-07-30 19:04:21,19,30,7,2000
90,964982462,2000-07-30 18:41:02,18,30,7,2000
91,964983123,2000-07-30 18:52:03,18,30,7,2000
92,964983094,2000-07-30 18:51:34,18,30,7,2000
93,964981093,2000-07-30 18:18:13,18,30,7,2000
94,964982242,2000-07-30 18:37:22,18,30,7,2000
95,964984169,2000-07-30 19:09:29,19,30,7,2000
96,965719662,2000-08-08 07:27:42,7,8,8,2000
97,964981278,2000-07-30 18:21:18,18,30,7,2000
98,964982328,2000-07-30 18:38:48,18,30,7,2000
99,964981265,2000-07-30 18:21:05,18,30,7,2000
100,964983000,2000-07-30 18:50:00,18,30,7,2000
101,964981144,2000-07-30 18:19:04,18,30,7,2000
102,964983080,2000-07-30 18:51:20,18,30,7,2000
103,964982377,2000-07-30 18:39:37,18,30,7,2000
104,964983426,2000-07-30 18:57:06,18,30,7,2000
105,964982191,2000-07-30 18:36:31,18,30,7,2000
106,964983282,2000-07-30 18:54:42,18,30,7,2000
107,964982495,2000-07-30 18:41:35,18,30,7,2000
108,964980896,2000-07-30 18:14:56,18,30,7,2000
109,964983762,2000-07-30 19:02:42,19,30,7,2000
