userId,movieId,time_Id,rating
196,242,1,3
186,302,2,3
22,377,3,1
244,51,4,2
166,346,5,1
298,474,6,4
115,265,7,2
253,465,8,5
305,451,9,3
6,86,10,3
62,257,11,2
286,1014,12,5
200,222,13,5
210,40,14,3
224,29,15,3
303,785,16,3
122,387,17,5
194,274,18,2
291,1042,19,4
234,1184,20,2
119,392,21,4
167,486,22,4
299,144,23,4
291,118,24,2
308,1,25,4
95,546,26,2
38,95,27,5
102,768,28,2
63,277,29,4
160,234,30,5
50,246,31,3
301,98,32,4
225,193,33,4
290,88,34,4
97,194,35,3
157,274,36,4
181,1081,37,1
278,603,38,5
276,796,39,1
7,32,40,4
10,16,41,4
284,304,42,4
201,979,43,2
276,564,44,3
287,327,45,5
246,201,46,5
242,1137,47,5
249,241,48,5
99,4,49,5
178,332,50,3
251,100,51,4
81,432,52,2
260,322,53,4
25,181,54,5
59,196,55,5
72,679,56,2
87,384,57,4
290,143,58,5
42,423,59,5
292,515,60,4
115,20,61,3
20,288,62,1
201,219,63,4
13,526,64,3
246,919,65,4
138,26,66,5
167,232,67,1
60,427,68,5
57,304,69,5
223,274,70,4
189,512,71,4
243,15,72,3
92,1049,73,1
246,416,74,3
194,165,75,4
241,690,76,2
178,248,77,4
254,1444,78,3
293,5,79,3
127,229,80,5
225,237,81,5
299,229,82,3
225,480,83,5
276,54,84,3
291,144,85,5
222,366,86,4
267,518,87,5
42,403,88,3
11,111,89,4
95,625,90,4
8,338,91,4
162,25,92,4
87,1016,93,4
279,154,94,5
145,275,95,2
119,1153,96,5
62,498,97,4
62,382,98,3
28,209,99,4
135,23,100,4
32,294,101,3
90,382,102,5
286,208,103,4
293,685,104,3
216,144,105,4
166,328,106,5
250,496,107,4
271,132,108,5
160,174,109,5
265,118,110,4
198,498,111,3
42,96,112,5
168,151,113,5
110,307,114,4
58,144,115,4
90,648,116,4
271,346,117,4
62,21,118,3
279,832,119,3
237,514,120,4
94,789,121,4
128,485,122,3
298,317,6,4
44,195,123,5
264,200,124,5
194,385,125,2
72,195,126,5
222,750,127,5
250,264,128,3
41,265,129,3
224,245,130,3
82,135,131,3
262,1147,132,4
