userId,AvgRating,TotalRatings,Cluster
1,3.6283185840707963,113,4
2,3.896551724137931,29,0
3,3.7945205479452055,73,0
4,4.161290322580645,124,0
5,3.1838235294117645,68,0
6,4.155737704918033,61,0
7,3.639751552795031,161,4
8,3.7966101694915255,59,0
9,2.7024793388429753,121,0
10,3.4565217391304346,23,0
11,3.5257731958762886,97,0
12,3.05,20,0
13,3.4285714285714284,28,0
14,3.4761904761904763,21,0
15,4.8493150684931505,73,0
16,4.0246913580246915,81,0
17,3.9714285714285715,140,0
18,3.4072164948453607,97,0
19,3.32,100,0
20,3.4215686274509802,51,0
21,3.72,100,0
22,3.111940298507463,201,0
23,3.5078125,64,0
24,3.871794871794872,273,4
25,2.64,150,0
26,3.05,20,0
27,4.073170731707317,41,0
28,3.525925925925926,135,4
29,3.236051502145923,233,4
30,3.902061855670103,97,0
31,3.893617021276596,47,0
32,4.144927536231884,276,4
33,4.166666666666667,96,0
34,4.0,28,0
35,3.71875,32,0
36,3.75,32,0
37,4.051724137931035,58,0
38,2.9506849315068493,365,4
39,3.9583333333333335,24,0
40,3.0344827586206895,29,0
41,4.048543689320389,103,0
42,4.083333333333333,66,0
43,3.1956521739130435,23,0
44,3.2801932367149758,207,4
45,3.6769230769230767,65,0
46,3.767123287671233,73,0
47,3.909090909090909,88,0
48,3.075,20,0
49,3.259259259259259,27,0
50,3.2,120,0
51,4.05,20,0
52,3.712962962962963,54,0
53,3.6363636363636362,33,0
54,3.1345291479820627,223,4
55,3.574074074074074,27,0
56,4.153846153846154,26,0
57,4.130208333333333,96,0
58,1.975,20,0
59,3.9651162790697674,43,0
60,3.599009900990099,202,4
61,3.3797468354430378,158,0
62,2.2931201550387597,1032,3
63,3.1007226738934057,1107,3
64,2.7547169811320753,53,0
65,3.5555555555555554,45,0
66,3.0736543909348444,353,4
67,3.769230769230769,26,0
68,3.88,25,0
69,3.4368421052631577,380,4
70,4.171052631578948,38,0
71,4.168571428571428,175,4
72,3.4662162162162162,148,0
73,3.8181818181818183,22,0
74,2.839622641509434,53,0
75,3.7333333333333334,60,0
76,4.204545454545454,22,0
77,3.675675675675676,74,0
78,5.0,35,0
79,3.6822916666666665,96,0
80,3.966666666666667,30,0
81,4.0,23,0
82,3.847826086956522,23,0
83,3.3435374149659864,147,0
84,3.9722222222222223,54,0
85,4.078431372549019,51,0
86,3.8189655172413794,58,0
87,3.5533088235294117,272,4
88,4.104166666666667,720,3
89,3.311111111111111,225,4
90,2.0476190476190474,21,0
91,4.111111111111111,36,0
92,3.6842105263157894,38,0
93,3.5714285714285716,35,0
94,3.4444444444444446,36,0
95,3.121212121212121,33,0
96,2.938775510204082,49,0
97,4.098214285714286,112,0
98,3.5,24,0
99,3.1904761904761907,21,0
100,3.3870967741935485,62,0
101,4.173611111111111,72,0
102,3.5634920634920637,126,0
103,3.769230769230769,39,0
104,3.6534653465346536,101,0
105,3.5727272727272728,110,0
106,4.473684210526316,57,0
107,3.449238578680203,394,4
108,4.324074074074074,108,4
109,4.1393034825870645,804,3
110,4.101851851851852,270,4
111,3.864864864864865,37,0
112,4.046875,64,0
113,3.408235294117647,425,4
114,3.6167664670658684,167,0
115,2.36,50,0
116,3.925925925925926,27,0
117,3.588235294117647,34,0
118,3.3529411764705883,323,4
119,4.533333333333333,60,0
120,4.413043478260869,46,0
121,4.0144927536231885,69,0
122,3.5416666666666665,312,4
123,3.672727272727273,165,0
124,4.388059701492537,134,0
125,2.375,20,0
126,3.811111111111111,45,0
127,2.810344827586207,58,0
128,3.418359057676686,1231,2
129,2.814814814814815,27,0
130,2.4672566371681417,565,4
131,3.761904761904762,21,0
132,3.9714285714285715,35,0
133,3.2162162162162162,74,0
134,4.142857142857143,70,0
135,3.8676470588235294,68,0
136,3.9,35,0
137,3.737942122186495,311,4
138,4.116666666666666,60,0
139,3.6343283582089554,134,0
140,3.0,180,0
141,3.5113636363636362,44,0
142,4.095238095238095,21,0
143,4.2153846153846155,65,0
144,4.630434782608695,69,0
145,4.176470588235294,68,0
146,3.99009900990099,101,0
147,4.276923076923077,195,4
148,3.189873417721519,79,0
149,4.049295774647887,142,4
150,3.8405797101449277,207,0
151,3.717391304347826,46,0
152,4.032258064516129,31,0
153,3.076923076923077,39,0
154,3.289473684210526,38,0
155,3.372549019607843,51,0
156,3.6494252873563218,348,4
157,3.6258992805755397,139,4
158,3.9029535864978904,237,4
159,3.4423076923076925,52,0
160,4.010416666666667,768,3
161,3.6790697674418604,215,4
162,3.3870967741935485,31,0
163,3.6804123711340204,97,0
164,3.951396648044693,895,3
165,3.3225806451612905,31,0
166,4.0,119,0
167,4.16887417218543,151,0
168,3.5180722891566263,166,4
169,3.09375,128,0
170,3.8125,56,0
171,3.8297872340425534,47,0
172,3.357142857142857,21,0
173,3.32,50,0
174,3.828125,160,0
175,3.8852459016393444,61,0
176,3.3789473684210525,95,0
177,3.180836707152497,741,3
178,4.064516129032258,31,0
179,2.800909090909091,550,4
180,3.641935483870968,155,0
181,3.46875,32,0
182,2.6481481481481484,54,0
183,3.269461077844311,167,4
184,3.152173913043478,23,0
185,3.55,30,0
186,3.5185185185185186,27,0
187,3.909090909090909,99,0
188,3.8363636363636364,275,4
189,4.342436974789916,238,0
190,2.9591836734693877,49,0
191,3.625,20,0
192,3.70873786407767,721,4
193,3.347107438016529,121,0
194,3.0519323671497585,414,0
195,3.9344262295081966,122,0
196,3.138211382113821,123,0
197,3.2,35,0
198,4.063432835820896,268,4
199,3.3962264150943398,159,0
200,2.9523809523809526,21,0
201,3.1847133757961785,157,0
202,3.63265306122449,49,0
203,3.768292682926829,246,4
204,4.315789473684211,38,0
205,2.91044776119403,67,0
206,3.6,80,0
207,3.580952380952381,105,0
208,3.2333333333333334,30,0
209,4.059322033898305,118,0
210,3.9727891156462585,147,0
211,3.936619718309859,142,0
212,4.0,24,0
213,3.949367088607595,632,3
214,3.2,20,0
215,3.9473684210526314,38,0
216,3.769230769230769,26,0
217,3.4285714285714284,21,0
218,4.172922252010724,373,4
219,2.8225806451612905,124,0
220,3.471223021582734,834,3
221,4.310344827586207,29,0
222,3.9814814814814814,54,0
223,4.431372549019608,51,0
224,3.520304568527919,1182,3
225,4.16,25,0
226,4.269230769230769,52,0
227,4.032258064516129,31,0
228,4.015885022692889,661,3
229,2.7333333333333334,45,0
230,3.5337837837837838,74,0
231,4.089285714285714,28,0
232,3.8733286418015482,1421,2
233,3.6808510638297873,47,0
234,3.9072164948453607,97,0
235,3.2597938144329897,485,4
236,3.5384615384615383,195,4
237,3.761904761904762,21,0
238,4.052356020942408,191,4
239,2.9692307692307693,65,0
240,3.9,30,0
241,4.103260869565218,184,0
242,3.720689655172414,290,4
243,3.923076923076923,26,0
244,3.0017211703958693,581,4
245,3.66,100,0
246,3.6341463414634148,41,0
247,3.710280373831776,107,0
248,4.341463414634147,41,0
249,3.347826086956522,23,0
250,3.4101123595505616,267,4
251,3.22,25,0
252,3.8333333333333335,72,0
253,3.8529411764705883,119,0
254,4.290697674418604,43,0
255,3.3529874213836477,636,4
256,4.2272727272727275,22,0
257,4.0,20,0
258,3.323529411764706,34,0
259,3.690909090909091,55,0
260,3.3114754098360657,61,0
261,3.449324324324324,148,0
262,3.5,48,0
263,3.719298245614035,57,0
264,3.6818181818181817,44,0
265,4.161290322580645,31,0
266,4.105263157894737,38,0
267,4.074468085106383,94,0
268,3.0019083969465647,262,0
269,3.472826086956522,92,0
270,3.8636363636363638,44,0
271,3.642857142857143,42,0
272,3.878787878787879,33,0
273,3.551851851851852,135,0
274,3.563025210084034,119,0
275,3.601827676240209,383,0
276,3.6578947368421053,57,0
277,3.6066666666666665,150,0
278,3.611842105263158,152,4
279,3.9615384615384617,26,0
280,3.8636363636363638,44,0
281,3.824561403508772,57,0
282,4.009708737864078,103,0
283,3.1095890410958904,219,0
284,3.6538461538461537,26,0
285,3.9302325581395348,43,0
286,4.393939393939394,66,0
287,2.8181818181818183,33,0
288,2.725,20,0
289,4.426229508196721,61,0
